Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O1,3, ,2, ,12, ,0, ,4, ,6, ,35, ,0, ,0, ,13
O1-falign-labels,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fcaller-saves,3,66.7%,5,100.0%,11,90.9%,0,0.0%,4,75.0%,9,100.0%,34,70.6%,0,0.0%,0,0.0%,14,21.4%
O1-fcode-hoisting,3,0.0%,3,100.0%,16,93.8%,0,0.0%,0,0.0%,6,100.0%,30,66.7%,0,0.0%,0,0.0%,15,20.0%
O1-fcrossjumping,6,83.3%,1,100.0%,12,91.7%,0,0.0%,4,100.0%,9,100.0%,29,69.0%,0,0.0%,0,0.0%,16,31.2%
O1-fcse-follow-jumps,1,100.0%,2,100.0%,14,92.9%,0,0.0%,1,100.0%,6,100.0%,38,63.2%,0,0.0%,0,0.0%,11,0.0%
O1-fdevirtualize,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fdevirtualize-speculatively,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fexpensive-optimizations,2,100.0%,3,100.0%,14,92.9%,0,0.0%,5,100.0%,8,100.0%,38,76.3%,0,0.0%,0,0.0%,13,15.4%
O1-fgcse,1,0.0%,3,100.0%,13,92.3%,0,0.0%,2,100.0%,7,100.0%,31,64.5%,0,0.0%,0,0.0%,15,26.7%
O1-fhoist-adjacent-loads,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-findirect-inlining,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-finline-small-functions,15,80.0%,1,100.0%,13,92.3%,0,0.0%,0,0.0%,9,100.0%,36,66.7%,0,0.0%,0,0.0%,15,26.7%
O1-fipa-bit-cp,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fipa-cp,4,25.0%,5,100.0%,11,90.9%,0,0.0%,3,66.7%,6,83.3%,35,54.3%,0,0.0%,0,0.0%,11,0.0%
O1-fipa-icf,3,0.0%,2,0.0%,11,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fipa-icf-functions,3,0.0%,2,0.0%,11,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fipa-icf-variables,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fipa-ra,3,0.0%,2,100.0%,10,70.0%,0,0.0%,6,66.7%,11,90.9%,43,46.5%,0,0.0%,0,0.0%,13,7.7%
O1-fipa-sra,7,57.1%,1,100.0%,12,91.7%,0,0.0%,1,0.0%,12,91.7%,30,50.0%,0,0.0%,0,0.0%,15,26.7%
O1-fipa-vrp,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fisolate-erroneous-paths-dereference,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-flra-remat,3,0.0%,4,100.0%,12,75.0%,0,0.0%,4,50.0%,8,87.5%,36,27.8%,0,0.0%,0,0.0%,13,7.7%
O1-foptimize-sibling-calls,3,0.0%,4,100.0%,25,96.0%,0,0.0%,5,80.0%,8,100.0%,41,65.9%,0,0.0%,0,0.0%,9,33.3%
O1-foptimize-strlen,6,50.0%,5,100.0%,12,91.7%,0,0.0%,2,100.0%,9,88.9%,34,52.9%,0,0.0%,0,0.0%,12,8.3%
O1-fpartial-inlining,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-fpeephole2,0,0.0%,3,100.0%,25,96.0%,0,0.0%,2,100.0%,9,100.0%,36,66.7%,0,0.0%,0,0.0%,15,26.7%
O1-freorder-blocks-and-partition,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-freorder-functions,3,0.0%,2,100.0%,11,90.9%,0,0.0%,3,66.7%,7,85.7%,38,52.6%,0,0.0%,0,0.0%,11,0.0%
O1-frerun-cse-after-loop,0,0.0%,7,100.0%,11,90.9%,0,0.0%,0,0.0%,6,100.0%,35,68.6%,0,0.0%,0,0.0%,11,0.0%
O1-fschedule-insns2,0,0.0%,1,100.0%,11,81.8%,0,0.0%,5,80.0%,10,90.0%,33,75.8%,0,0.0%,0,0.0%,19,31.6%
O1-fstore-merging,7,57.1%,5,100.0%,14,92.9%,0,0.0%,3,100.0%,10,90.0%,31,38.7%,0,0.0%,0,0.0%,14,21.4%
O1-fstrict-aliasing,4,25.0%,6,100.0%,13,92.3%,0,0.0%,2,50.0%,8,87.5%,33,51.5%,0,0.0%,0,0.0%,14,21.4%
O1-fstrict-overflow,3,0.0%,3,100.0%,15,80.0%,0,0.0%,4,50.0%,9,88.9%,34,47.1%,0,0.0%,0,0.0%,15,20.0%
O1-fthread-jumps,3,0.0%,5,80.0%,13,53.8%,0,0.0%,1,100.0%,7,85.7%,35,42.9%,0,0.0%,0,0.0%,16,25.0%
O1-ftree-pre,2,100.0%,2,100.0%,9,88.9%,0,0.0%,3,100.0%,9,100.0%,35,71.4%,0,0.0%,0,0.0%,15,20.0%
O1-ftree-switch-conversion,3,0.0%,1,100.0%,12,83.3%,0,0.0%,4,75.0%,4,75.0%,33,45.5%,0,0.0%,0,0.0%,16,25.0%
O1-ftree-tail-merge,3,0.0%,2,0.0%,12,0.0%,0,0.0%,4,0.0%,6,0.0%,35,0.0%,0,0.0%,0,0.0%,13,0.0%
O1-ftree-vrp,4,75.0%,4,100.0%,16,93.8%,0,0.0%,1,0.0%,7,85.7%,41,70.7%,0,0.0%,0,0.0%,13,15.4%
