Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,561,387,52,117,5
O1-falign-labels,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fcaller-saves,596 (-35; -6.2%),415 (-28; -7.2%),52 (0; 0.0%),127 (-10; -8.5%),2 (3; 60.0%)
O1-fcode-hoisting,574 (-13; -2.3%),400 (-13; -3.4%),50 (2; 3.8%),121 (-4; -3.4%),3 (2; 40.0%)
O1-fcrossjumping,550 (11; 2.0%),385 (2; 0.5%),49 (3; 5.8%),112 (5; 4.3%),4 (1; 20.0%)
O1-fcse-follow-jumps,584 (-23; -4.1%),386 (1; 0.3%),47 (5; 9.6%),147 (-30; -25.6%),4 (1; 20.0%)
O1-fdevirtualize,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fdevirtualize-speculatively,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fexpensive-optimizations,556 (5; 0.9%),385 (2; 0.5%),44 (8; 15.4%),122 (-5; -4.3%),5 (0; 0.0%)
O1-fgcse,589 (-28; -5.0%),391 (-4; -1.0%),59 (-7; -13.5%),132 (-15; -12.8%),7 (-2; -40.0%)
O1-fhoist-adjacent-loads,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-findirect-inlining,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-finline-small-functions,553 (8; 1.4%),373 (14; 3.6%),45 (7; 13.5%),129 (-12; -10.3%),6 (-1; -20.0%)
O1-fipa-bit-cp,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fipa-cp,591 (-30; -5.3%),404 (-17; -4.4%),47 (5; 9.6%),133 (-16; -13.7%),7 (-2; -40.0%)
O1-fipa-icf,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fipa-icf-functions,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fipa-icf-variables,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fipa-ra,576 (-15; -2.7%),405 (-18; -4.7%),50 (2; 3.8%),116 (1; 0.9%),5 (0; 0.0%)
O1-fipa-sra,537 (24; 4.3%),385 (2; 0.5%),38 (14; 26.9%),110 (7; 6.0%),4 (1; 20.0%)
O1-fipa-vrp,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fisolate-erroneous-paths-dereference,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-flra-remat,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-foptimize-sibling-calls,624 (-63; -11.2%),424 (-37; -9.6%),67 (-15; -28.8%),127 (-10; -8.5%),6 (-1; -20.0%)
O1-foptimize-strlen,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fpartial-inlining,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-fpeephole2,571 (-10; -1.8%),407 (-20; -5.2%),43 (9; 17.3%),117 (0; 0.0%),4 (1; 20.0%)
O1-freorder-blocks-and-partition,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-freorder-functions,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-frerun-cse-after-loop,571 (-10; -1.8%),396 (-9; -2.3%),51 (1; 1.9%),121 (-4; -3.4%),3 (2; 40.0%)
O1-fschedule-insns2,585 (-24; -4.3%),407 (-20; -5.2%),49 (3; 5.8%),124 (-7; -6.0%),5 (0; 0.0%)
O1-fstore-merging,586 (-25; -4.5%),395 (-8; -2.1%),54 (-2; -3.8%),130 (-13; -11.1%),7 (-2; -40.0%)
O1-fstrict-aliasing,602 (-41; -7.3%),407 (-20; -5.2%),63 (-11; -21.2%),127 (-10; -8.5%),5 (0; 0.0%)
O1-fstrict-overflow,546 (15; 2.7%),390 (-3; -0.8%),39 (13; 25.0%),112 (5; 4.3%),5 (0; 0.0%)
O1-fthread-jumps,563 (-2; -0.4%),397 (-10; -2.6%),39 (13; 25.0%),121 (-4; -3.4%),6 (-1; -20.0%)
O1-ftree-pre,576 (-15; -2.7%),397 (-10; -2.6%),52 (0; 0.0%),120 (-3; -2.6%),7 (-2; -40.0%)
O1-ftree-switch-conversion,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-ftree-tail-merge,561 (0; 0.0%),387 (0; 0.0%),52 (0; 0.0%),117 (0; 0.0%),5 (0; 0.0%)
O1-ftree-vrp,567 (-6; -1.1%),396 (-9; -2.3%),39 (13; 25.0%),124 (-7; -6.0%),8 (-3; -60.0%)
