Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,5925,2989,1036,1786,114
O1-falign-labels,5925 (0; 0.0%),2989 (0; 0.0%),1036 (0; 0.0%),1786 (0; 0.0%),114 (0; 0.0%)
O1-fcaller-saves,5668 (257; 4.3%),2908 (81; 2.7%),1032 (4; 0.4%),1620 (166; 9.3%),108 (6; 5.3%)
O1-fcode-hoisting,5729 (196; 3.3%),2954 (35; 1.2%),1018 (18; 1.7%),1639 (147; 8.2%),118 (-4; -3.5%)
O1-fcrossjumping,5941 (-16; -0.3%),2924 (65; 2.2%),1081 (-45; -4.3%),1814 (-28; -1.6%),122 (-8; -7.0%)
O1-fcse-follow-jumps,5937 (-12; -0.2%),2951 (38; 1.3%),1109 (-73; -7.0%),1761 (25; 1.4%),116 (-2; -1.8%)
O1-fdevirtualize,5925 (0; 0.0%),2989 (0; 0.0%),1036 (0; 0.0%),1786 (0; 0.0%),114 (0; 0.0%)
O1-fdevirtualize-speculatively,5925 (0; 0.0%),2989 (0; 0.0%),1036 (0; 0.0%),1786 (0; 0.0%),114 (0; 0.0%)
O1-fexpensive-optimizations,5796 (129; 2.2%),2940 (49; 1.6%),998 (38; 3.7%),1763 (23; 1.3%),95 (19; 16.7%)
O1-fgcse,5944 (-19; -0.3%),2964 (25; 0.8%),1104 (-68; -6.6%),1760 (26; 1.5%),116 (-2; -1.8%)
O1-fhoist-adjacent-loads,5864 (61; 1.0%),2982 (7; 0.2%),980 (56; 5.4%),1785 (1; 0.1%),117 (-3; -2.6%)
O1-findirect-inlining,5925 (0; 0.0%),2989 (0; 0.0%),1036 (0; 0.0%),1786 (0; 0.0%),114 (0; 0.0%)
O1-finline-small-functions,5864 (61; 1.0%),2626 (363; 12.1%),861 (175; 16.9%),2298 (-512; -28.7%),79 (35; 30.7%)
O1-fipa-bit-cp,5927 (-2; -0.0%),2991 (-2; -0.1%),1036 (0; 0.0%),1786 (0; 0.0%),114 (0; 0.0%)
O1-fipa-cp,5914 (11; 0.2%),2957 (32; 1.1%),1057 (-21; -2.0%),1784 (2; 0.1%),116 (-2; -1.8%)
O1-fipa-icf,5992 (-67; -1.1%),2998 (-9; -0.3%),1108 (-72; -6.9%),1764 (22; 1.2%),122 (-8; -7.0%)
