Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,16,11,15,0,1,14,26,0,0,31
O1-falign-labels,16 (0; 0.0%),11 (0; 0.0%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-fcaller-saves,14 (2; 12.5%),9 (2; 18.2%),28 (-13; -86.7%),0 (0; 0.0%),1 (0; 0.0%),9 (5; 35.7%),15 (11; 42.3%),0 (0; 0.0%),0 (0; 0.0%),32 (-1; -3.2%)
O1-fcode-hoisting,19 (-3; -18.8%),14 (-3; -27.3%),20 (-5; -33.3%),0 (0; 0.0%),2 (-1; -100.0%),14 (0; 0.0%),15 (11; 42.3%),0 (0; 0.0%),0 (0; 0.0%),34 (-3; -9.7%)
O1-fcrossjumping,16 (0; 0.0%),13 (-2; -18.2%),20 (-5; -33.3%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),21 (5; 19.2%),0 (0; 0.0%),0 (0; 0.0%),37 (-6; -19.4%)
O1-fcse-follow-jumps,16 (0; 0.0%),11 (0; 0.0%),21 (-6; -40.0%),0 (0; 0.0%),2 (-1; -100.0%),14 (0; 0.0%),18 (8; 30.8%),0 (0; 0.0%),0 (0; 0.0%),34 (-3; -9.7%)
O1-fdevirtualize,16 (0; 0.0%),11 (0; 0.0%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-fdevirtualize-speculatively,16 (0; 0.0%),11 (0; 0.0%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-fexpensive-optimizations,14 (2; 12.5%),8 (3; 27.3%),19 (-4; -26.7%),0 (0; 0.0%),2 (-1; -100.0%),9 (5; 35.7%),10 (16; 61.5%),0 (0; 0.0%),0 (0; 0.0%),33 (-2; -6.5%)
O1-fgcse,13 (3; 18.8%),12 (-1; -9.1%),27 (-12; -80.0%),0 (0; 0.0%),3 (-2; -200.0%),12 (2; 14.3%),16 (10; 38.5%),0 (0; 0.0%),0 (0; 0.0%),33 (-2; -6.5%)
O1-fhoist-adjacent-loads,16 (0; 0.0%),10 (1; 9.1%),15 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),14 (0; 0.0%),29 (-3; -11.5%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-findirect-inlining,16 (0; 0.0%),11 (0; 0.0%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),14 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),31 (0; 0.0%)
O1-finline-small-functions,22 (-6; -37.5%),11 (0; 0.0%),19 (-4; -26.7%),0 (0; 0.0%),4 (-3; -300.0%),6 (8; 57.1%),15 (11; 42.3%),0 (0; 0.0%),0 (0; 0.0%),2 (29; 93.5%)
