Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,474,353,53,56,12
O2-fgcse-after-reload,476 (-2; -0.4%),355 (-2; -0.6%),67 (-14; -26.4%),43 (13; 23.2%),11 (1; 8.3%)
O2-finline-functions,453 (21; 4.4%),338 (15; 4.2%),50 (3; 5.7%),48 (8; 14.3%),17 (-5; -41.7%)
O2-fipa-cp-clone,432 (42; 8.9%),354 (-1; -0.3%),35 (18; 34.0%),33 (23; 41.1%),10 (2; 16.7%)
O2-fpeel-loops,465 (9; 1.9%),353 (0; 0.0%),62 (-9; -17.0%),40 (16; 28.6%),10 (2; 16.7%)
O2-fpredictive-commoning,476 (-2; -0.4%),355 (-2; -0.6%),67 (-14; -26.4%),43 (13; 23.2%),11 (1; 8.3%)
O2-fsplit-loops,472 (2; 0.4%),355 (-2; -0.6%),62 (-9; -17.0%),44 (12; 21.4%),11 (1; 8.3%)
O2-fsplit-paths,472 (2; 0.4%),355 (-2; -0.6%),62 (-9; -17.0%),44 (12; 21.4%),11 (1; 8.3%)
O2-ftree-loop-distribute-patterns,462 (12; 2.5%),355 (-2; -0.6%),56 (-3; -5.7%),41 (15; 26.8%),10 (2; 16.7%)
O2-ftree-loop-vectorize,455 (19; 4.0%),346 (7; 2.0%),56 (-3; -5.7%),44 (12; 21.4%),9 (3; 25.0%)
O2-ftree-partial-pre,470 (4; 0.8%),357 (-4; -1.1%),60 (-7; -13.2%),41 (15; 26.8%),12 (0; 0.0%)
O2-ftree-slp-vectorize,464 (10; 2.1%),355 (-2; -0.6%),60 (-7; -13.2%),38 (18; 32.1%),11 (1; 8.3%)
O2-funswitch-loops,455 (19; 4.0%),351 (2; 0.6%),51 (2; 3.8%),42 (14; 25.0%),11 (1; 8.3%)
