Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,13537,7352,2703,3259,223
O2-fgcse-after-reload,13488 (49; 0.4%),7375 (-23; -0.3%),2597 (106; 3.9%),3304 (-45; -1.4%),212 (11; 4.9%)
O2-finline-functions,13142 (395; 2.9%),6656 (696; 9.5%),2500 (203; 7.5%),3729 (-470; -14.4%),257 (-34; -15.2%)
O2-fipa-cp-clone,13867 (-330; -2.4%),7423 (-71; -1.0%),2785 (-82; -3.0%),3404 (-145; -4.4%),255 (-32; -14.3%)
O2-fpeel-loops,13663 (-126; -0.9%),7370 (-18; -0.2%),2736 (-33; -1.2%),3348 (-89; -2.7%),209 (14; 6.3%)
O2-fpredictive-commoning,13337 (200; 1.5%),7340 (12; 0.2%),2631 (72; 2.7%),3148 (111; 3.4%),218 (5; 2.2%)
O2-fsplit-loops,13408 (129; 1.0%),7294 (58; 0.8%),2691 (12; 0.4%),3199 (60; 1.8%),224 (-1; -0.4%)
O2-fsplit-paths,13499 (38; 0.3%),7324 (28; 0.4%),2624 (79; 2.9%),3343 (-84; -2.6%),208 (15; 6.7%)
O2-ftree-loop-distribute-patterns,13432 (105; 0.8%),7333 (19; 0.3%),2676 (27; 1.0%),3218 (41; 1.3%),205 (18; 8.1%)
O2-ftree-loop-vectorize,13709 (-172; -1.3%),7361 (-9; -0.1%),2704 (-1; -0.0%),3363 (-104; -3.2%),281 (-58; -26.0%)
O2-ftree-partial-pre,13620 (-83; -0.6%),7417 (-65; -0.9%),2730 (-27; -1.0%),3242 (17; 0.5%),231 (-8; -3.6%)
O2-ftree-slp-vectorize,13500 (37; 0.3%),7266 (86; 1.2%),2752 (-49; -1.8%),3264 (-5; -0.2%),218 (5; 2.2%)
O2-funswitch-loops,13641 (-104; -0.8%),7335 (17; 0.2%),2734 (-31; -1.1%),3328 (-69; -2.1%),244 (-21; -9.4%)
