Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O2,11,31,95,0,7,32,38,0,0,9
O2-fgcse-after-reload,13 (-2; -18.2%),29 (2; 6.5%),91 (4; 4.2%),0 (0; 0.0%),3 (4; 57.1%),28 (4; 12.5%),38 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-1; -11.1%)
O2-finline-functions,18 (-7; -63.6%),36 (-5; -16.1%),88 (7; 7.4%),0 (0; 0.0%),10 (-3; -42.9%),49 (-17; -53.1%),41 (-3; -7.9%),0 (0; 0.0%),0 (0; 0.0%),15 (-6; -66.7%)
O2-fipa-cp-clone,16 (-5; -45.5%),42 (-11; -35.5%),105 (-10; -10.5%),0 (0; 0.0%),8 (-1; -14.3%),33 (-1; -3.1%),44 (-6; -15.8%),0 (0; 0.0%),0 (0; 0.0%),7 (2; 22.2%)
O2-fpeel-loops,13 (-2; -18.2%),32 (-1; -3.2%),86 (9; 9.5%),0 (0; 0.0%),9 (-2; -28.6%),36 (-4; -12.5%),27 (11; 28.9%),0 (0; 0.0%),0 (0; 0.0%),6 (3; 33.3%)
O2-fpredictive-commoning,15 (-4; -36.4%),29 (2; 6.5%),102 (-7; -7.4%),0 (0; 0.0%),4 (3; 42.9%),27 (5; 15.6%),37 (1; 2.6%),0 (0; 0.0%),0 (0; 0.0%),4 (5; 55.6%)
O2-fsplit-loops,14 (-3; -27.3%),32 (-1; -3.2%),91 (4; 4.2%),0 (0; 0.0%),4 (3; 42.9%),37 (-5; -15.6%),34 (4; 10.5%),0 (0; 0.0%),0 (0; 0.0%),12 (-3; -33.3%)
O2-fsplit-paths,11 (0; 0.0%),26 (5; 16.1%),91 (4; 4.2%),0 (0; 0.0%),5 (2; 28.6%),28 (4; 12.5%),36 (2; 5.3%),0 (0; 0.0%),0 (0; 0.0%),11 (-2; -22.2%)
O2-ftree-loop-distribute-patterns,17 (-6; -54.5%),30 (1; 3.2%),85 (10; 10.5%),0 (0; 0.0%),7 (0; 0.0%),22 (10; 31.2%),35 (3; 7.9%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O2-ftree-loop-vectorize,14 (-3; -27.3%),47 (-16; -51.6%),111 (-16; -16.8%),0 (0; 0.0%),10 (-3; -42.9%),50 (-18; -56.2%),33 (5; 13.2%),0 (0; 0.0%),0 (0; 0.0%),16 (-7; -77.8%)
O2-ftree-partial-pre,12 (-1; -9.1%),33 (-2; -6.5%),98 (-3; -3.2%),0 (0; 0.0%),9 (-2; -28.6%),32 (0; 0.0%),41 (-3; -7.9%),0 (0; 0.0%),0 (0; 0.0%),6 (3; 33.3%)
O2-ftree-slp-vectorize,9 (2; 18.2%),42 (-11; -35.5%),96 (-1; -1.1%),0 (0; 0.0%),5 (2; 28.6%),33 (-1; -3.1%),21 (17; 44.7%),0 (0; 0.0%),0 (0; 0.0%),12 (-3; -33.3%)
O2-funswitch-loops,14 (-3; -27.3%),27 (4; 12.9%),100 (-5; -5.3%),0 (0; 0.0%),6 (1; 14.3%),51 (-19; -59.4%),31 (7; 18.4%),0 (0; 0.0%),0 (0; 0.0%),15 (-6; -66.7%)
