Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O2,11, ,31, ,95, ,0, ,7, ,32, ,38, ,0, ,0, ,9
O2-fgcse-after-reload,13,30.8%,29,79.3%,91,35.2%,0,0.0%,3,66.7%,28,75.0%,38,68.4%,0,0.0%,0,0.0%,10,60.0%
O2-finline-functions,18,55.6%,36,100.0%,88,64.8%,0,0.0%,10,100.0%,49,100.0%,41,95.1%,0,0.0%,0,0.0%,15,86.7%
O2-fipa-cp-clone,16,43.8%,42,100.0%,105,53.3%,0,0.0%,8,100.0%,33,100.0%,44,90.9%,0,0.0%,0,0.0%,7,71.4%
O2-fpeel-loops,13,38.5%,32,100.0%,86,43.0%,0,0.0%,9,88.9%,36,97.2%,27,88.9%,0,0.0%,0,0.0%,6,66.7%
O2-fpredictive-commoning,15,26.7%,29,79.3%,102,36.3%,0,0.0%,4,75.0%,27,74.1%,37,75.7%,0,0.0%,0,0.0%,4,25.0%
O2-fsplit-loops,14,21.4%,32,90.6%,91,37.4%,0,0.0%,4,75.0%,37,94.6%,34,85.3%,0,0.0%,0,0.0%,12,75.0%
O2-fsplit-paths,11,18.2%,26,100.0%,91,46.2%,0,0.0%,5,100.0%,28,100.0%,36,91.7%,0,0.0%,0,0.0%,11,81.8%
O2-ftree-loop-distribute-patterns,17,35.3%,30,66.7%,85,20.0%,0,0.0%,7,57.1%,22,68.2%,35,51.4%,0,0.0%,0,0.0%,9,22.2%
O2-ftree-loop-vectorize,14,50.0%,47,95.7%,111,54.1%,0,0.0%,10,100.0%,50,100.0%,33,93.9%,0,0.0%,0,0.0%,16,87.5%
O2-ftree-partial-pre,12,33.3%,33,100.0%,98,49.0%,0,0.0%,9,100.0%,32,100.0%,41,92.7%,0,0.0%,0,0.0%,6,66.7%
O2-ftree-slp-vectorize,9,33.3%,42,97.6%,96,51.0%,0,0.0%,5,100.0%,33,100.0%,21,90.5%,0,0.0%,0,0.0%,12,83.3%
O2-funswitch-loops,14,35.7%,27,100.0%,100,49.0%,0,0.0%,6,100.0%,51,100.0%,31,96.8%,0,0.0%,0,0.0%,15,86.7%
