Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,7 of 11,28 of 35,12 of 17
O2-fgcse-after-reload,8 (-1),31 (-3),14 (-2)
O2-finline-functions,6 (1),25 (3),12 (0)
O2-fipa-cp-clone,6 (1),26 (2),13 (-1)
O2-fpeel-loops,7 (0),26 (2),12 (0)
O2-fpredictive-commoning,7 (0),28 (0),12 (0)
O2-fsplit-loops,7 (0),28 (0),12 (0)
O2-fsplit-paths,6 (1),26 (2),12 (0)
O2-ftree-loop-distribute-patterns,7 (0),27 (1),12 (0)
O2-ftree-loop-vectorize,6 (1),26 (2),13 (-1)
O2-ftree-partial-pre,6 (1),27 (1),13 (-1)
O2-ftree-slp-vectorize,7 (0),28 (0),12 (0)
O2-funswitch-loops,6 (1),27 (1),12 (0)
