Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O2,428,1.550233644859813,71,1.7887323943661972,35,1.6857142857142857
O2-fgcse-after-reload,418 (10),1.5741626794258374 (-0.023929034566024354),83 (-12),1.7469879518072289 (0.041744442558968364),40 (-5),1.5625 (0.12321428571428572)
O2-finline-functions,371 (57),1.5107816711590296 (0.03945197370078346),79 (-8),1.7658227848101267 (0.022909609556070576),60 (-25),1.7416666666666667 (-0.055952380952380976)
O2-fipa-cp-clone,427 (1),1.5667447306791569 (-0.016511085819343796),89 (-18),1.5224719101123596 (0.26626048425383764),45 (-10),1.8111111111111111 (-0.1253968253968254)
O2-fpeel-loops,447 (-19),1.5324384787472036 (0.01779516611260945),87 (-16),1.971264367816092 (-0.1825319734498947),54 (-19),1.7962962962962963 (-0.11058201058201056)
O2-fpredictive-commoning,428 (0),1.550233644859813 (0.0),71 (0),1.7887323943661972 (0.0),35 (0),1.6857142857142857 (0.0)
O2-fsplit-loops,428 (0),1.550233644859813 (0.0),71 (0),1.7887323943661972 (0.0),35 (0),1.6857142857142857 (0.0)
O2-fsplit-paths,434 (-6),1.5241935483870968 (0.026040096472716323),75 (-4),1.4866666666666666 (0.30206572769953066),44 (-9),1.8181818181818181 (-0.1324675324675324)
O2-ftree-loop-distribute-patterns,433 (-5),1.5600461893764435 (-0.009812544516630384),88 (-17),1.7159090909090908 (0.07282330345710641),35 (0),1.8571428571428572 (-0.17142857142857149)
O2-ftree-loop-vectorize,449 (-21),1.564587973273942 (-0.01435432841412898),92 (-21),1.826086956521739 (-0.03735456215554178),34 (1),2.2205882352941178 (-0.534873949579832)
O2-ftree-partial-pre,442 (-14),1.5158371040723981 (0.03439654078741494),86 (-15),1.7383720930232558 (0.05036030134294145),36 (-1),1.7638888888888888 (-0.07817460317460312)
O2-ftree-slp-vectorize,419 (9),1.5608591885441527 (-0.010625543684339656),81 (-10),1.6358024691358024 (0.15292992523039484),37 (-2),1.5945945945945945 (0.0911196911196912)
O2-funswitch-loops,430 (-2),1.5476744186046512 (0.002559226255161917),78 (-7),1.6923076923076923 (0.09642470205850495),36 (-1),1.6805555555555556 (0.00515873015873014)
