Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,537,428,71,35,3
O2-fgcse-after-reload,544 (-7; -1.3%),418 (10; 2.3%),83 (-12; -16.9%),40 (-5; -14.3%),3 (0; 0.0%)
O2-finline-functions,514 (23; 4.3%),371 (57; 13.3%),79 (-8; -11.3%),60 (-25; -71.4%),4 (-1; -33.3%)
O2-fipa-cp-clone,567 (-30; -5.6%),427 (1; 0.2%),89 (-18; -25.4%),45 (-10; -28.6%),6 (-3; -100.0%)
O2-fpeel-loops,590 (-53; -9.9%),447 (-19; -4.4%),87 (-16; -22.5%),54 (-19; -54.3%),2 (1; 33.3%)
O2-fpredictive-commoning,537 (0; 0.0%),428 (0; 0.0%),71 (0; 0.0%),35 (0; 0.0%),3 (0; 0.0%)
O2-fsplit-loops,537 (0; 0.0%),428 (0; 0.0%),71 (0; 0.0%),35 (0; 0.0%),3 (0; 0.0%)
O2-fsplit-paths,557 (-20; -3.7%),434 (-6; -1.4%),75 (-4; -5.6%),44 (-9; -25.7%),4 (-1; -33.3%)
O2-ftree-loop-distribute-patterns,559 (-22; -4.1%),433 (-5; -1.2%),88 (-17; -23.9%),35 (0; 0.0%),3 (0; 0.0%)
O2-ftree-loop-vectorize,580 (-43; -8.0%),449 (-21; -4.9%),92 (-21; -29.6%),34 (1; 2.9%),5 (-2; -66.7%)
O2-ftree-partial-pre,567 (-30; -5.6%),442 (-14; -3.3%),86 (-15; -21.1%),36 (-1; -2.9%),3 (0; 0.0%)
O2-ftree-slp-vectorize,543 (-6; -1.1%),419 (9; 2.1%),81 (-10; -14.1%),37 (-2; -5.7%),6 (-3; -100.0%)
O2-funswitch-loops,548 (-11; -2.0%),430 (-2; -0.5%),78 (-7; -9.9%),36 (-1; -2.9%),4 (-1; -33.3%)
