Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O2,0,0,1,0,1,0,1,0,0,0
O2-fgcse-after-reload,0 (0; 0.0%),1 (-1; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-finline-functions,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-fipa-cp-clone,2 (-2; 0.0%),1 (-1; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-fpeel-loops,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-fpredictive-commoning,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-fsplit-loops,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-fsplit-paths,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O2-ftree-loop-distribute-patterns,0 (0; 0.0%),1 (-1; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-ftree-loop-vectorize,0 (0; 0.0%),1 (-1; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-ftree-partial-pre,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-ftree-slp-vectorize,0 (0; 0.0%),2 (-2; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-funswitch-loops,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
