Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O2,0, ,0, ,1, ,0, ,1, ,0, ,1, ,0, ,0, ,0
O2-fgcse-after-reload,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%
O2-finline-functions,0,0.0%,0,0.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%
O2-fipa-cp-clone,2,100.0%,1,100.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%
O2-fpeel-loops,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%
O2-fpredictive-commoning,0,0.0%,0,0.0%,1,0.0%,0,0.0%,1,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%
O2-fsplit-loops,0,0.0%,0,0.0%,1,0.0%,0,0.0%,1,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%
O2-fsplit-paths,0,0.0%,0,0.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,1,100.0%
O2-ftree-loop-distribute-patterns,0,0.0%,1,100.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%
O2-ftree-loop-vectorize,0,0.0%,1,100.0%,3,66.7%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%
O2-ftree-partial-pre,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%
O2-ftree-slp-vectorize,0,0.0%,2,100.0%,3,66.7%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%
O2-funswitch-loops,0,0.0%,0,0.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%,2,50.0%,0,0.0%,0,0.0%,0,0.0%
