Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O2,2224,1.6079136690647482,1158,1.7862694300518134,1424,1.7117275280898876
O2-fgcse-after-reload,2225 (-1),1.613932584269663 (-0.006018915204914821),1105 (53),1.7846153846153847 (0.0016540454364286639),1415 (9),1.676678445229682 (0.035049082860205694)
O2-finline-functions,2187 (37),1.5770461819844537 (0.03086748708029452),1272 (-114),1.6745283018867925 (0.11174112816502091),1688 (-264),1.590936018957346 (0.12079150913254155)
O2-fipa-cp-clone,2201 (23),1.6242616992276238 (-0.01634803016287556),1112 (46),1.72931654676259 (0.05695288328922343),1366 (58),1.658125915080527 (0.053601613009360616)
O2-fpeel-loops,2269 (-45),1.623843102688409 (-0.015929433623660838),1113 (45),1.8405211141060198 (-0.05425168405420644),1417 (7),1.7381792519407198 (-0.026451723850832165)
O2-fpredictive-commoning,2233 (-9),1.6150918047469771 (-0.007178135682228914),1101 (57),1.7225249772933697 (0.06374445275844365),1418 (6),1.7002820874471085 (0.011445440642779081)
O2-fsplit-loops,2222 (2),1.6026102610261026 (0.005303408038645596),1089 (69),1.797979797979798 (-0.011710367927984633),1448 (-24),1.75207182320442 (-0.0403442951145323)
O2-fsplit-paths,2232 (-8),1.631720430107527 (-0.02380676104277879),1204 (-46),1.7595514950166113 (0.026717935035202034),1354 (70),1.6539881831610044 (0.05773934492888322)
O2-ftree-loop-distribute-patterns,2202 (22),1.607856494096276 (5.7174968472128995e-05),1086 (72),1.6763351749539595 (0.10993425509785393),1382 (42),1.681259044862518 (0.030468483227369614)
O2-ftree-loop-vectorize,2219 (5),1.6194231635872014 (-0.0115094945224532),1164 (-6),1.7126288659793814 (0.07364056407243202),1404 (20),1.6730769230769231 (0.03865060501296447)
O2-ftree-partial-pre,2253 (-29),1.6222814025743453 (-0.01436773350959708),1157 (1),1.7100259291270528 (0.07624350092476062),1313 (111),1.6294744859101296 (0.08225304217975804)
O2-ftree-slp-vectorize,2257 (-33),1.606114311032344 (0.0017993580324042746),1100 (58),1.8127272727272727 (-0.026457842675459364),1353 (71),1.6193643754619365 (0.09236315262795114)
O2-funswitch-loops,2263 (-39),1.650022094564737 (-0.04210842549998883),1005 (153),1.718407960199005 (0.06786146985280839),1432 (-8),1.7217178770949721 (-0.009990349005084553)
