Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,4879,2224,1158,1424,73
O2-fgcse-after-reload,4833 (46; 0.9%),2225 (-1; -0.0%),1105 (53; 4.6%),1415 (9; 0.6%),88 (-15; -20.5%)
O2-finline-functions,5261 (-382; -7.8%),2187 (37; 1.7%),1272 (-114; -9.8%),1688 (-264; -18.5%),114 (-41; -56.2%)
O2-fipa-cp-clone,4770 (109; 2.2%),2201 (23; 1.0%),1112 (46; 4.0%),1366 (58; 4.1%),91 (-18; -24.7%)
O2-fpeel-loops,4878 (1; 0.0%),2269 (-45; -2.0%),1113 (45; 3.9%),1417 (7; 0.5%),79 (-6; -8.2%)
O2-fpredictive-commoning,4830 (49; 1.0%),2233 (-9; -0.4%),1101 (57; 4.9%),1418 (6; 0.4%),78 (-5; -6.8%)
O2-fsplit-loops,4840 (39; 0.8%),2222 (2; 0.1%),1089 (69; 6.0%),1448 (-24; -1.7%),81 (-8; -11.0%)
O2-fsplit-paths,4885 (-6; -0.1%),2232 (-8; -0.4%),1204 (-46; -4.0%),1354 (70; 4.9%),95 (-22; -30.1%)
O2-ftree-loop-distribute-patterns,4757 (122; 2.5%),2202 (22; 1.0%),1086 (72; 6.2%),1382 (42; 2.9%),87 (-14; -19.2%)
O2-ftree-loop-vectorize,4891 (-12; -0.2%),2219 (5; 0.2%),1164 (-6; -0.5%),1404 (20; 1.4%),104 (-31; -42.5%)
O2-ftree-partial-pre,4815 (64; 1.3%),2253 (-29; -1.3%),1157 (1; 0.1%),1313 (111; 7.8%),92 (-19; -26.0%)
O2-ftree-slp-vectorize,4803 (76; 1.6%),2257 (-33; -1.5%),1100 (58; 5.0%),1353 (71; 5.0%),93 (-20; -27.4%)
O2-funswitch-loops,4796 (83; 1.7%),2263 (-39; -1.8%),1005 (153; 13.2%),1432 (-8; -0.6%),96 (-23; -31.5%)
