Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O2,4879, ,2224, ,1158, ,1424
O2-fgcse-after-reload,4833,39.4%,2225,17.8%,1105,67.4%,1415,50.2%
O2-finline-functions,5261,64.5%,2187,44.3%,1272,87.6%,1688,72.2%
O2-fipa-cp-clone,4770,52.8%,2201,34.9%,1112,81.5%,1366,56.7%
O2-fpeel-loops,4878,46.1%,2269,27.3%,1113,73.9%,1417,53.4%
O2-fpredictive-commoning,4830,31.1%,2233,4.3%,1101,62.5%,1418,47.7%
O2-fsplit-loops,4840,30.7%,2222,3.7%,1089,61.2%,1448,47.9%
O2-fsplit-paths,4885,51.6%,2232,33.0%,1204,81.2%,1354,54.6%
O2-ftree-loop-distribute-patterns,4757,32.0%,2202,5.0%,1086,64.4%,1382,47.9%
O2-ftree-loop-vectorize,4891,52.0%,2219,33.8%,1164,80.0%,1404,56.1%
O2-ftree-partial-pre,4815,54.0%,2253,36.4%,1157,82.8%,1313,57.5%
O2-ftree-slp-vectorize,4803,48.5%,2257,33.7%,1100,72.5%,1353,52.5%
O2-funswitch-loops,4796,51.4%,2263,34.3%,1005,79.5%,1432,57.3%
