Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O2,4,9,33,0,1,9,13,0,0,4
O2-fgcse-after-reload,4 (0; 0.0%),14 (-5; -55.6%),34 (-1; -3.0%),0 (0; 0.0%),3 (-2; -200.0%),16 (-7; -77.8%),12 (1; 7.7%),0 (0; 0.0%),0 (0; 0.0%),5 (-1; -25.0%)
O2-finline-functions,8 (-4; -100.0%),8 (1; 11.1%),49 (-16; -48.5%),0 (0; 0.0%),6 (-5; -500.0%),19 (-10; -111.1%),19 (-6; -46.2%),0 (0; 0.0%),0 (0; 0.0%),5 (-1; -25.0%)
O2-fipa-cp-clone,10 (-6; -150.0%),16 (-7; -77.8%),33 (0; 0.0%),0 (0; 0.0%),3 (-2; -200.0%),9 (0; 0.0%),16 (-3; -23.1%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O2-fpeel-loops,4 (0; 0.0%),4 (5; 55.6%),40 (-7; -21.2%),0 (0; 0.0%),2 (-1; -100.0%),14 (-5; -55.6%),8 (5; 38.5%),0 (0; 0.0%),0 (0; 0.0%),7 (-3; -75.0%)
O2-fpredictive-commoning,4 (0; 0.0%),16 (-7; -77.8%),32 (1; 3.0%),0 (0; 0.0%),3 (-2; -200.0%),10 (-1; -11.1%),9 (4; 30.8%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O2-fsplit-loops,4 (0; 0.0%),12 (-3; -33.3%),35 (-2; -6.1%),0 (0; 0.0%),0 (1; 100.0%),11 (-2; -22.2%),14 (-1; -7.7%),0 (0; 0.0%),0 (0; 0.0%),5 (-1; -25.0%)
O2-fsplit-paths,10 (-6; -150.0%),14 (-5; -55.6%),36 (-3; -9.1%),0 (0; 0.0%),3 (-2; -200.0%),9 (0; 0.0%),15 (-2; -15.4%),0 (0; 0.0%),0 (0; 0.0%),8 (-4; -100.0%)
O2-ftree-loop-distribute-patterns,4 (0; 0.0%),14 (-5; -55.6%),33 (0; 0.0%),0 (0; 0.0%),7 (-6; -600.0%),10 (-1; -11.1%),14 (-1; -7.7%),0 (0; 0.0%),0 (0; 0.0%),5 (-1; -25.0%)
O2-ftree-loop-vectorize,5 (-1; -25.0%),19 (-10; -111.1%),35 (-2; -6.1%),0 (0; 0.0%),3 (-2; -200.0%),19 (-10; -111.1%),18 (-5; -38.5%),0 (0; 0.0%),0 (0; 0.0%),5 (-1; -25.0%)
O2-ftree-partial-pre,4 (0; 0.0%),13 (-4; -44.4%),29 (4; 12.1%),0 (0; 0.0%),6 (-5; -500.0%),19 (-10; -111.1%),15 (-2; -15.4%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O2-ftree-slp-vectorize,7 (-3; -75.0%),9 (0; 0.0%),31 (2; 6.1%),0 (0; 0.0%),4 (-3; -300.0%),21 (-12; -133.3%),14 (-1; -7.7%),0 (0; 0.0%),0 (0; 0.0%),7 (-3; -75.0%)
O2-funswitch-loops,10 (-6; -150.0%),12 (-3; -33.3%),40 (-7; -21.2%),0 (0; 0.0%),3 (-2; -200.0%),12 (-3; -33.3%),14 (-1; -7.7%),0 (0; 0.0%),0 (0; 0.0%),5 (-1; -25.0%)
