Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,6414,1939,767,3608,100
O2-fgcse-after-reload,6415 (-1; -0.0%),1941 (-2; -0.1%),754 (13; 1.7%),3623 (-15; -0.4%),97 (3; 3.0%)
O2-finline-functions,6912 (-498; -7.8%),1780 (159; 8.2%),714 (53; 6.9%),4319 (-711; -19.7%),99 (1; 1.0%)
O2-fipa-cp-clone,6530 (-116; -1.8%),1943 (-4; -0.2%),739 (28; 3.7%),3746 (-138; -3.8%),102 (-2; -2.0%)
O2-fpeel-loops,6480 (-66; -1.0%),1921 (18; 0.9%),798 (-31; -4.0%),3656 (-48; -1.3%),105 (-5; -5.0%)
O2-fpredictive-commoning,6554 (-140; -2.2%),1930 (9; 0.5%),773 (-6; -0.8%),3753 (-145; -4.0%),98 (2; 2.0%)
O2-fsplit-loops,6414 (0; 0.0%),1939 (0; 0.0%),767 (0; 0.0%),3608 (0; 0.0%),100 (0; 0.0%)
O2-fsplit-paths,6515 (-101; -1.6%),1925 (14; 0.7%),773 (-6; -0.8%),3733 (-125; -3.5%),84 (16; 16.0%)
O2-ftree-loop-distribute-patterns,6500 (-86; -1.3%),1945 (-6; -0.3%),892 (-125; -16.3%),3573 (35; 1.0%),90 (10; 10.0%)
O2-ftree-loop-vectorize,6533 (-119; -1.9%),1985 (-46; -2.4%),787 (-20; -2.6%),3661 (-53; -1.5%),100 (0; 0.0%)
O2-ftree-partial-pre,6412 (2; 0.0%),1944 (-5; -0.3%),733 (34; 4.4%),3633 (-25; -0.7%),102 (-2; -2.0%)
O2-ftree-slp-vectorize,6453 (-39; -0.6%),1959 (-20; -1.0%),765 (2; 0.3%),3638 (-30; -0.8%),91 (9; 9.0%)
O2-funswitch-loops,6488 (-74; -1.2%),1923 (16; 0.8%),762 (5; 0.7%),3703 (-95; -2.6%),100 (0; 0.0%)
