Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,7 of 11,22 of 35,8 of 17
O2-fgcse-after-reload,7 (0),21 (1),8 (0)
O2-finline-functions,7 (0),21 (1),7 (1)
O2-fipa-cp-clone,8 (-1),24 (-2),9 (-1)
O2-fpeel-loops,7 (0),22 (0),8 (0)
O2-fpredictive-commoning,7 (0),22 (0),8 (0)
O2-fsplit-loops,7 (0),22 (0),8 (0)
O2-fsplit-paths,7 (0),21 (1),8 (0)
O2-ftree-loop-distribute-patterns,7 (0),21 (1),8 (0)
O2-ftree-loop-vectorize,7 (0),25 (-3),8 (0)
O2-ftree-partial-pre,7 (0),21 (1),8 (0)
O2-ftree-slp-vectorize,7 (0),25 (-3),8 (0)
O2-funswitch-loops,7 (0),21 (1),8 (0)
