Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O2,374,1.7286096256684491,79,1.3481012658227849,118,1.3601694915254237
O2-fgcse-after-reload,372 (2),1.7486559139784945 (-0.0200462883100454),74 (5),1.4391891891891893 (-0.09108792336640437),118 (0),1.3728813559322033 (-0.012711864406779627)
O2-finline-functions,374 (0),1.6403743315508021 (0.08823529411764697),87 (-8),1.5632183908045978 (-0.2151171249818129),121 (-3),1.3760330578512396 (-0.01586356632581598)
O2-fipa-cp-clone,373 (1),1.7292225201072386 (-0.0006128944387895352),86 (-7),1.447674418604651 (-0.09957315278186618),135 (-17),1.4481481481481482 (-0.08797865662272453)
O2-fpeel-loops,374 (0),1.7286096256684491 (0.0),79 (0),1.3481012658227849 (0.0),118 (0),1.3601694915254237 (0.0)
O2-fpredictive-commoning,374 (0),1.7286096256684491 (0.0),79 (0),1.3481012658227849 (0.0),118 (0),1.3601694915254237 (0.0)
O2-fsplit-loops,374 (0),1.7286096256684491 (0.0),79 (0),1.3481012658227849 (0.0),118 (0),1.3601694915254237 (0.0)
O2-fsplit-paths,373 (1),1.7158176943699732 (0.01279193129847589),78 (1),1.5128205128205128 (-0.1647192469977279),110 (8),1.3590909090909091 (0.00107858243451453)
O2-ftree-loop-distribute-patterns,375 (-1),1.676 (0.05260962566844918),72 (7),1.7291666666666667 (-0.38106540084388185),130 (-12),1.3461538461538463 (0.014015645371577401)
O2-ftree-loop-vectorize,392 (-18),1.7691326530612246 (-0.04052302739277547),89 (-10),1.6853932584269662 (-0.3372919926041813),112 (6),1.5267857142857142 (-0.16661622276029053)
O2-ftree-partial-pre,366 (8),1.7418032786885247 (-0.01319365302007558),69 (10),1.4710144927536233 (-0.12291322693083839),124 (-6),1.4274193548387097 (-0.06724986331328608)
O2-ftree-slp-vectorize,384 (-10),1.7291666666666667 (-0.0005570409982176283),81 (-2),1.5802469135802468 (-0.23214564775746194),119 (-1),1.2647058823529411 (0.09546360917248253)
O2-funswitch-loops,383 (-9),1.7101827676240209 (0.01842685804442823),68 (11),1.5147058823529411 (-0.16660461653015624),117 (1),1.3461538461538463 (0.014015645371577401)
