Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,572,374,79,118,1
O2-fgcse-after-reload,566 (6; 1.0%),372 (2; 0.5%),74 (5; 6.3%),118 (0; 0.0%),2 (-1; -100.0%)
O2-finline-functions,583 (-11; -1.9%),374 (0; 0.0%),87 (-8; -10.1%),121 (-3; -2.5%),1 (0; 0.0%)
O2-fipa-cp-clone,597 (-25; -4.4%),373 (1; 0.3%),86 (-7; -8.9%),135 (-17; -14.4%),3 (-2; -200.0%)
O2-fpeel-loops,572 (0; 0.0%),374 (0; 0.0%),79 (0; 0.0%),118 (0; 0.0%),1 (0; 0.0%)
O2-fpredictive-commoning,572 (0; 0.0%),374 (0; 0.0%),79 (0; 0.0%),118 (0; 0.0%),1 (0; 0.0%)
O2-fsplit-loops,572 (0; 0.0%),374 (0; 0.0%),79 (0; 0.0%),118 (0; 0.0%),1 (0; 0.0%)
O2-fsplit-paths,563 (9; 1.6%),373 (1; 0.3%),78 (1; 1.3%),110 (8; 6.8%),2 (-1; -100.0%)
O2-ftree-loop-distribute-patterns,580 (-8; -1.4%),375 (-1; -0.3%),72 (7; 8.9%),130 (-12; -10.2%),3 (-2; -200.0%)
O2-ftree-loop-vectorize,596 (-24; -4.2%),392 (-18; -4.8%),89 (-10; -12.7%),112 (6; 5.1%),3 (-2; -200.0%)
O2-ftree-partial-pre,563 (9; 1.6%),366 (8; 2.1%),69 (10; 12.7%),124 (-6; -5.1%),4 (-3; -300.0%)
O2-ftree-slp-vectorize,585 (-13; -2.3%),384 (-10; -2.7%),81 (-2; -2.5%),119 (-1; -0.8%),1 (0; 0.0%)
O2-funswitch-loops,571 (1; 0.2%),383 (-9; -2.4%),68 (11; 13.9%),117 (1; 0.8%),3 (-2; -200.0%)
