Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O2,572, ,374, ,79, ,118
O2-fgcse-after-reload,566,8.0%,372,7.3%,74,12.2%,118,6.8%
O2-finline-functions,583,40.1%,374,32.4%,87,74.7%,121,39.7%
O2-fipa-cp-clone,597,26.1%,373,16.6%,86,53.5%,135,34.1%
O2-fpeel-loops,572,0.0%,374,0.0%,79,0.0%,118,0.0%
O2-fpredictive-commoning,572,0.0%,374,0.0%,79,0.0%,118,0.0%
O2-fsplit-loops,572,0.0%,374,0.0%,79,0.0%,118,0.0%
O2-fsplit-paths,563,18.3%,373,12.1%,78,48.7%,110,17.3%
O2-ftree-loop-distribute-patterns,580,15.7%,375,10.4%,72,34.7%,130,19.2%
O2-ftree-loop-vectorize,596,26.2%,392,17.9%,89,58.4%,112,28.6%
O2-ftree-partial-pre,563,19.9%,366,13.1%,69,39.1%,124,27.4%
O2-ftree-slp-vectorize,585,24.8%,384,18.0%,81,50.6%,119,29.4%
O2-funswitch-loops,571,15.6%,383,13.3%,68,29.4%,117,13.7%
