Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,6665,2928,1172,2437,128
O2-fgcse-after-reload,6651 (14; 0.2%),2969 (-41; -1.4%),1088 (84; 7.2%),2472 (-35; -1.4%),122 (6; 4.7%)
O2-finline-functions,6508 (157; 2.4%),2640 (288; 9.8%),1066 (106; 9.0%),2686 (-249; -10.2%),116 (12; 9.4%)
O2-fipa-cp-clone,6693 (-28; -0.4%),3017 (-89; -3.0%),1049 (123; 10.5%),2517 (-80; -3.3%),110 (18; 14.1%)
O2-fpeel-loops,6558 (107; 1.6%),3061 (-133; -4.5%),1036 (136; 11.6%),2357 (80; 3.3%),104 (24; 18.8%)
O2-fpredictive-commoning,6665 (0; 0.0%),2928 (0; 0.0%),1172 (0; 0.0%),2437 (0; 0.0%),128 (0; 0.0%)
O2-fsplit-loops,6525 (140; 2.1%),2951 (-23; -0.8%),1109 (63; 5.4%),2362 (75; 3.1%),103 (25; 19.5%)
O2-fsplit-paths,6493 (172; 2.6%),2942 (-14; -0.5%),1034 (138; 11.8%),2413 (24; 1.0%),104 (24; 18.8%)
O2-ftree-loop-distribute-patterns,6604 (61; 0.9%),2946 (-18; -0.6%),1131 (41; 3.5%),2414 (23; 0.9%),113 (15; 11.7%)
O2-ftree-loop-vectorize,6565 (100; 1.5%),3031 (-103; -3.5%),1068 (104; 8.9%),2379 (58; 2.4%),87 (41; 32.0%)
O2-ftree-partial-pre,6579 (86; 1.3%),2948 (-20; -0.7%),1098 (74; 6.3%),2418 (19; 0.8%),115 (13; 10.2%)
O2-ftree-slp-vectorize,6665 (0; 0.0%),2962 (-34; -1.2%),1082 (90; 7.7%),2516 (-79; -3.2%),105 (23; 18.0%)
O2-funswitch-loops,6611 (54; 0.8%),3031 (-103; -3.5%),1080 (92; 7.8%),2398 (39; 1.6%),102 (26; 20.3%)
