Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O2,6665, ,2928, ,1172, ,2437
O2-fgcse-after-reload,6651,34.2%,2969,18.0%,1088,68.4%,2472,37.8%
O2-finline-functions,6508,59.0%,2640,40.2%,1066,85.7%,2686,66.6%
O2-fipa-cp-clone,6693,42.2%,3017,26.7%,1049,80.0%,2517,44.4%
O2-fpeel-loops,6558,39.1%,3061,24.7%,1036,76.7%,2357,40.8%
O2-fpredictive-commoning,6665,0.0%,2928,0.0%,1172,0.0%,2437,0.0%
O2-fsplit-loops,6525,23.5%,2951,6.9%,1109,58.7%,2362,27.1%
O2-fsplit-paths,6493,38.0%,2942,22.8%,1034,75.8%,2413,39.6%
O2-ftree-loop-distribute-patterns,6604,27.4%,2946,7.5%,1131,67.2%,2414,32.2%
O2-ftree-loop-vectorize,6565,39.0%,3031,22.2%,1068,77.6%,2379,42.9%
O2-ftree-partial-pre,6579,38.5%,2948,23.1%,1098,76.4%,2418,39.3%
O2-ftree-slp-vectorize,6665,35.4%,2962,19.1%,1082,68.4%,2516,39.8%
O2-funswitch-loops,6611,40.3%,3031,25.3%,1080,77.1%,2398,42.0%
