Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O2,14,13,53,0,4,15,22,0,0,7
O2-fgcse-after-reload,12 (2; 14.3%),4 (9; 69.2%),48 (5; 9.4%),0 (0; 0.0%),3 (1; 25.0%),17 (-2; -13.3%),31 (-9; -40.9%),0 (0; 0.0%),0 (0; 0.0%),7 (0; 0.0%)
O2-finline-functions,17 (-3; -21.4%),8 (5; 38.5%),39 (14; 26.4%),0 (0; 0.0%),5 (-1; -25.0%),13 (2; 13.3%),27 (-5; -22.7%),0 (0; 0.0%),0 (0; 0.0%),7 (0; 0.0%)
O2-fipa-cp-clone,11 (3; 21.4%),6 (7; 53.8%),49 (4; 7.5%),0 (0; 0.0%),4 (0; 0.0%),7 (8; 53.3%),28 (-6; -27.3%),0 (0; 0.0%),0 (0; 0.0%),5 (2; 28.6%)
O2-fpeel-loops,12 (2; 14.3%),7 (6; 46.2%),40 (13; 24.5%),0 (0; 0.0%),7 (-3; -75.0%),11 (4; 26.7%),19 (3; 13.6%),0 (0; 0.0%),0 (0; 0.0%),8 (-1; -14.3%)
O2-fpredictive-commoning,14 (0; 0.0%),13 (0; 0.0%),53 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),15 (0; 0.0%),22 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),7 (0; 0.0%)
O2-fsplit-loops,11 (3; 21.4%),8 (5; 38.5%),46 (7; 13.2%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),15 (7; 31.8%),0 (0; 0.0%),0 (0; 0.0%),7 (0; 0.0%)
O2-fsplit-paths,12 (2; 14.3%),10 (3; 23.1%),33 (20; 37.7%),0 (0; 0.0%),7 (-3; -75.0%),12 (3; 20.0%),20 (2; 9.1%),0 (0; 0.0%),0 (0; 0.0%),10 (-3; -42.9%)
O2-ftree-loop-distribute-patterns,12 (2; 14.3%),7 (6; 46.2%),47 (6; 11.3%),0 (0; 0.0%),3 (1; 25.0%),10 (5; 33.3%),28 (-6; -27.3%),0 (0; 0.0%),0 (0; 0.0%),6 (1; 14.3%)
O2-ftree-loop-vectorize,12 (2; 14.3%),7 (6; 46.2%),35 (18; 34.0%),0 (0; 0.0%),3 (1; 25.0%),8 (7; 46.7%),15 (7; 31.8%),0 (0; 0.0%),0 (0; 0.0%),7 (0; 0.0%)
O2-ftree-partial-pre,12 (2; 14.3%),13 (0; 0.0%),47 (6; 11.3%),0 (0; 0.0%),4 (0; 0.0%),17 (-2; -13.3%),16 (6; 27.3%),0 (0; 0.0%),0 (0; 0.0%),6 (1; 14.3%)
O2-ftree-slp-vectorize,12 (2; 14.3%),8 (5; 38.5%),52 (1; 1.9%),0 (0; 0.0%),4 (0; 0.0%),8 (7; 46.7%),15 (7; 31.8%),0 (0; 0.0%),0 (0; 0.0%),6 (1; 14.3%)
O2-funswitch-loops,13 (1; 7.1%),12 (1; 7.7%),38 (15; 28.3%),0 (0; 0.0%),3 (1; 25.0%),9 (6; 40.0%),22 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),5 (2; 28.6%)
